rank,name,level,exp
1,Brett Vetion,2277,1794127824
2,Thalarios,2277,1567890000
3,Mazhar,2277,1500000000
4,Slays,2277,1159794416
5,Mandrewable,2277,1077777777
6,ShimonB,2277,1069696997
7,Tomiee,2277,1045345389
8,PancakeOSRS,2277,1040785034
9,Tatapie,2277,1032897847
10,Kint,2277,1000000000
11,h0wt0g3tr1ch,2277,962526398
12,LiT COLA,2277,955520445
13,GoblinDoctor,2277,933958620
14,ProInvesting,2277,926426218
15,DavidRich98,2277,896460973
16,More AFK,2277,873355463
17,diegorland0,2277,851449350
18,Zatom,2277,840078341
19,Mr Bond,2277,831589531
20,Hypermark,2277,830439344
21,Gl Im Tom,2277,825412904
22,Osare,2277,819131537
23,June,2277,818389922
24,Wishwandewe,2277,815371988
25,Columbus175,2277,811811811
